code	type	duration	participants-number	participants	year	collection-point	collection-region	macro-region	languages	participants-relationship	moderator	topic	unknown-participant
KPC001	conversazione-libera:pasto	00:32:59	2	PKP025;PKP026	2022	AN	marche	centre	italiano;dialetto	simmetrico	no	libero	no
KPC002	conversazione-libera:pasto	00:49:39	3	PKP094;PKP056;PKP093	2020	AR	toscana	centre	italiano;dialetto	simmetrico	no	libero	no
KPC003	conversazione-libera:pasto	00:30:56	2	PKP093;PKP024	2020	LU	toscana	centre	italiano	simmetrico	no	libero	no
KPC004	conversazione-libera:pasto	00:26:41	2	PKP028;PKP027	2023	RM	lazio	centre	italiano;dialetto	simmetrico	no	libero	no
KPC005	conversazione-libera:pasto	00:32:16	3	PKP063;PKP064;PKP065	2021	AN	marche	centre	italiano	simmetrico	no	libero	no
KPC006	conversazione-libera:pasto	00:32:57	2	PKP063;PKP066	2021	AN	marche	centre	italiano;dialetto	simmetrico	no	libero	no
KPC007	conversazione-libera:pasto	00:48:38	3	PKP063;PKP067;PKP068	2021	AN	marche	centre	italiano;dialetto	simmetrico	no	libero	yes
KPC008	conversazione-libera:pasto	00:40:28	2	PKP063;PKP069	2021	AN	marche	centre	italiano	simmetrico	no	libero	no
KPC009	conversazione-libera:pasto	01:04:17	3	PKP088;PKP089;PKP090	2022	PG	umbria	centre	italiano;dialetto	simmetrico	no	libero	no
KPC011	conversazione-libera:pasto	00:51:28	3	PKP147;PKP148;PKP149	2024	AR	toscana	centre	italiano;dialetto	simmetrico	no	libero	no
KPN001	conversazione-libera:pasto	00:53:21	2	PKP135;PKP007	2020	BO	emilia-romagna	nord	italiano	simmetrico	no	libero	yes
KPN002	conversazione-libera:pasto	00:31:56	5	PKP012;PKP011;PKP038;PKP031;PKP124	2020	VE	veneto	nord	italiano;dialetto	simmetrico	no	libero	yes
KPN003	conversazione-libera:pasto	00:50:14	3	PKP013;PKP014;PKP015	2020	BO	emilia-romagna	nord	italiano	simmetrico	no	libero	yes
KPN004	conversazione-libera:pasto	00:33:46	3	PKP013;PKP016;PKP017	2020	BO	emilia-romagna	nord	italiano	simmetrico	no	libero	no
KPN005	conversazione-libera:pasto	00:41:40	4	PKP013;PKP014;PKP015;PKP018	2020	BO	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	yes
KPN006	conversazione-libera:pasto	00:35:02	4	PKP014;PKP019;PKP020;PKP021	2020	BO	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN007	conversazione-libera:pasto	00:55:06	4	PKP013;PKP016;PKP017;PKP022	2020	BO	emilia-romagna	nord	italiano	simmetrico	no	libero	no
KPN009	conversazione-libera:pasto	00:38:12	4	PKP093;PKP055;PKP023;PKP054	2020	BO	emilia-romagna	nord	italiano	simmetrico	no	libero	no
KPN010	conversazione-libera:pasto	00:28:10	4	PKP029;PKP024;PKP092;PKP091	2020	BO	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN011	conversazione-libera:pasto	00:42:06	4	PKP120;PKP121;PKP122;PKP123	2020	RN	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN012	conversazione-libera:pasto	00:43:43	4	PKP043;PKP044;PKP045;PKP046	2020	MI	lombardia	nord	italiano;dialetto	simmetrico	no	libero	no
KPN013	conversazione-libera:pasto	00:54:45	3	PKP057;PKP058;PKP059	2020	RE	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	yes
KPN014	conversazione-libera:pasto	00:53:52	2	PKP057;PKP060	2020	RE	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN015	conversazione-libera:pasto	00:38:02	3	PKP057;PKP061;PKP062	2020	RE	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN016	conversazione-libera:pasto	00:30:01	2	PKP057;PKP061	2020	RE	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	yes
KPN017	conversazione-libera:pasto	00:33:52	2	PKP057;PKP061	2021	RE	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	yes
KPN018	conversazione-libera:pasto	00:23:25	3	PKP145;PKP146;PKP106	2020	VE	veneto	nord	italiano;dialetto	simmetrico	no	libero	no
KPN019	conversazione-libera:pasto	00:30:06	4	PKP009;PKP144;PKP030;PKP143	2020	VE	veneto	nord	italiano;dialetto	simmetrico	no	libero	no
KPN020	conversazione-libera:pasto	00:30:17	3	PKP032;PKP008;PKP030	2020	VE	veneto	nord	italiano;dialetto	simmetrico	no	libero	no
KPN021	conversazione-libera:pasto	01:00:29	4	PKP070;PKP072;PKP073;PKP074	2020	TV	veneto	nord	italiano;dialetto	simmetrico	no	libero	no
KPN022	conversazione-libera:pasto	00:31:25	4	PKP070;PKP075;PKP076;PKP077	2020	TV	veneto	nord	italiano;dialetto	simmetrico	no	libero	no
KPN023	conversazione-libera:pasto	00:38:55	4	PKP070;PKP078;PKP079;PKP071	2020	TV	veneto	nord	italiano;dialetto	simmetrico	no	libero	yes
KPN024	conversazione-libera:pasto	00:47:24	2	PKP070;PKP080	2020	TV	veneto	nord	italiano;dialetto	simmetrico	no	libero	no
KPN025	conversazione-libera:pasto	00:31:32	4	PKP107;PKP108;PKP109;PKP110	2020	FC	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN026	conversazione-libera:pasto	00:38:32	4	PKP111;PKP107;PKP113;PKP114	2020	FC	emilia-romagna	nord	italiano	simmetrico	no	libero	no
KPN027	conversazione-libera:pasto	00:23:56	2	PKP115;PKP116	2020	FC	emilia-romagna	nord	italiano	simmetrico	no	libero	no
KPN028	conversazione-libera:pasto	00:32:38	3	PKP112;PKP118;PKP119	2020	FC	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN029	conversazione-libera:pasto	00:31:11	3	PKP136;PKP139;PKP140	2022	BO	emilia-romagna	nord	italiano	simmetrico	no	libero	no
KPN030	conversazione-libera:pasto	00:29:50	3	PKP136;PKP141;PKP142	2022	BO	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPN031	conversazione-libera:pasto	00:52:03	3	PKP033;PKP036;PKP037	2024	BO	emilia-romagna	nord	italiano;dialetto	simmetrico	no	libero	no
KPS001	conversazione-libera:pasto	01:28:55	4	PKP100;PKP101;PKP102;PKP103	2022	CZ	calabria	south	italiano;dialetto	simmetrico	no	libero	no
KPS002	conversazione-libera:pasto	00:37:23	3	PKP103;PKP104;PKP105	2023	CZ	calabria	south	italiano;dialetto	simmetrico	no	libero	no
KPS003	conversazione-libera:pasto	00:37:28	2	PKP135;PKP010	2020	PE	abruzzo	south	italiano;dialetto	simmetrico	no	libero	yes
KPS004	conversazione-libera:pasto	02:02:15	3	PKP033;PKP034;PKP035	2022	LE	puglia	south	italiano;dialetto	simmetrico	no	libero	no
KPS005	conversazione-libera:pasto	00:34:42	4	PKP001;PKP003;PKP004;PKP005	2020	MT	basilicata	south	italiano	simmetrico	no	libero	no
KPS006	conversazione-libera:pasto	00:34:12	5	PKP001;PKP003;PKP004;PKP005;PKP006	2020	MT	basilicata	south	italiano;dialetto	simmetrico	no	libero	no
KPS007	conversazione-libera:pasto	00:37:21	2	PKP135;PKP134	2020	PE	abruzzo	south	italiano	simmetrico	no	libero	no
KPS008	conversazione-libera:pasto	00:29:53	3	PKP039;PKP040;PKP041	2020	BR	puglia	south	italiano;dialetto	simmetrico	no	libero	no
KPS009	conversazione-libera:pasto	00:27:18	4	PKP039;PKP040;PKP041;PKP042	2020	BR	puglia	south	italiano;dialetto	simmetrico	no	libero	no
KPS010	conversazione-libera:pasto	00:31:17	4	PKP039;PKP040;PKP041;PKP047	2020	BR	puglia	south	italiano;dialetto	simmetrico	no	libero	no
KPS011	conversazione-libera:pasto	00:36:14	4	PKP039;PKP040;PKP041;PKP048	2020	BR	puglia	south	italiano;dialetto	simmetrico	no	libero	yes
KPS012	conversazione-libera:pasto	00:32:28	3	PKP049;PKP050;PKP051	2020	BR	puglia	south	italiano;dialetto	simmetrico	no	libero	no
KPS013	conversazione-libera:pasto	00:32:02	3	PKP043;PKP052;PKP053	2020	BR	puglia	south	italiano;dialetto	simmetrico	no	libero	yes
KPS014	conversazione-libera:pasto	00:35:07	3	PKP095;PKP096;PKP097	2020	FG	puglia	south	italiano;dialetto	simmetrico	no	libero	no
