code	occupation	gender	conversations	birth-region	age-range	study-level	L1
PKP001	stud	F	KPS006;KPS005	basilicata	21-25	laurea-in-corso	italian
PKP003	stud	M	KPS005;KPS006	basilicata	16-20	laurea-in-corso	italian
PKP004	intell	F	KPS005;KPS006	puglia	51-55	dip-tec-prof	italian
PKP005	uff	M	KPS005;KPS006	basilicata	56-60	dip-lic	italian
PKP006	intell	F	KPS006	basilicata	81-85	laurea	italian
PKP007	intell	F	KPN001	piemonte	26-30	phd	italian
PKP008	pens	F	KPN020	veneto	56-60	med	italian
PKP009	intell	F	KPN019	veneto	56-60	laurea	italian
PKP010	uff	F	KPS003	abruzzo	51-55	laurea	italian
PKP011	stud	M	KPN002	estero	21-25	laurea-in-corso	other
PKP012	N/A	F	KPN002	veneto	21-25	N/A	italian
PKP013	stud	F	KPN003;KPN004;KPN005;KPN007	emilia-romagna	21-25	laurea-in-corso	italian
PKP014	disocc	F	KPN003;KPN005;KPN006	emilia-romagna	21-25	laurea	italian
PKP015	tec	F	KPN003;KPN005	emilia-romagna	21-25	laurea	italian
PKP016	uff	F	KPN004;KPN007	emilia-romagna	51-55	dip-tec-prof	italian
PKP017	uff	M	KPN004;KPN007	emilia-romagna	51-55	phd	italian
PKP018	tec	F	KPN005	emilia-romagna	51-55	dip-tec-prof	italian
PKP019	pens	M	KPN006	emilia-romagna	81-85	elem	italian
PKP020	stud	M	KPN006	emilia-romagna	16-20	laurea-in-corso	italian
PKP021	tec	M	KPN006	emilia-romagna	51-55	dip-tec-prof	italian
PKP022	pens	F	KPN007	emilia-romagna	76-80	dip-tec-prof	italian
PKP023	stud	M	KPN009	sicilia	16-20	laurea-in-corso	italian
PKP024	stud	F	KPC003;KPN010	toscana	21-25	laurea-in-corso	italian
PKP025	stud	F	KPC001	marche	21-25	laurea-in-corso	italian
PKP026	uff	F	KPC001	marche	51-55	dip-tec-prof	italian
PKP027	uff	M	KPC004	lazio	26-30	laurea	italian
PKP028	stud	F	KPC004	lazio	26-30	laurea-in-corso	italian
PKP029	stud	F	KPN010	toscana	21-25	laurea-in-corso	italian
PKP030	stud	M	KPN019;KPN020	veneto	21-25	laurea-in-corso	italian
PKP031	stud	M	KPN002	veneto	21-25	laurea-in-corso	italian
PKP032	uff	M	KPN020	estero	56-60	dip-tec-prof	other
PKP033	intell	F	KPN031;KPS004	emilia-romagna	26-30	laurea	italian
PKP034	pens	F	KPS004	puglia	81-85	dip-tec-prof	italian
PKP035	pens	M	KPS004	puglia	over 85	dip-tec-prof	italian
