code	occupation	gender	conversations	birth-region	age-range	study-level	L1
BOI001	uff	M	PBC001	emilia-romagna	61-65	dip-tec-prof	italian
BOI002	comm	F	PBB001	estero	51-55	dip-lic	italian
BOI003	uff	F	PBB002	emilia-romagna	56-60	dip-tec-prof	italian
BOI004	intell	F	PBB003	emilia-romagna	46-50	dip-lic	italian
BOI005	uff	M	PBB003	emilia-romagna	51-55	dip-tec-prof	italian
BOI006	uff	F	PBA001	emilia-romagna	26-30	laurea	italian
BOI007	tec	F	PBC002	emilia-romagna	71-75	med	italian
BOI008	tec	M	PBC002	emilia-romagna	76-80	dip-lic	italian
BOI009	pens	F	PBC003	emilia-romagna	71-75	elem	italian
BOI010	pens	M	PBC003	emilia-romagna	71-75	med	italian
BOI011	pens	F	PBC004	emilia-romagna	66-70	laurea	italian
BOI012	oper	M	PBB004	emilia-romagna	56-60	dip-tec-prof	italian
BOI013	tec	F	PBB004	calabria	56-60	dip-tec-prof	italian
BOI014	pens	F	PBC005	emilia-romagna	76-80	dip-lic	italian
BOI015	tec	F	PBB005	emilia-romagna	56-60	dip-tec-prof	italian
BOI016	tec	M	PBB005	emilia-romagna	56-60	dip-tec-prof	italian
BOI017	artig	F	PBC006	emilia-romagna	66-70	dip-lic	italian
BOI018	tec	M	PBC006	emilia-romagna	71-75	laurea	italian
BOI019	pens	F	PBC007	emilia-romagna	over85	dip-lic	italian
BOI020	intell	M	PBB006	emilia-romagna	51-55	laurea	italian
BOI021	pens	F	PBC008	emilia-romagna	71-75	dip-lic	italian
BOI022	pens	M	PBC009	emilia-romagna	71-75	laurea	italian
BOI023	pens	F	PBC009	emilia-romagna	71-75	laurea	italian
BOI024	tec	F	PBB007	emilia-romagna	36-40	dip-tec-prof	italian
BOI025	comm	M	PBB007	emilia-romagna	31-35	dip-tec-prof	italian;other
BOI026	intell	F	PBB008	emilia-romagna	46-50	laurea	italian
BOI027	intell	M	PBB009	calabria	31-35	laurea	italian
BOI028	intell	F	PBB009	molise	71-75	laurea	italian
BOI029	intell	F	PBC010	emilia-romagna	61-65	laurea	italian
BOI030	comm	F	PBB010	estero	31-35	med	other
BOI031	comm	F	PBB011	basilicata	31-35	dip-tec-prof	italian
BOI032	pens	F	PBC011	emilia-romagna	76-80	dip-tec-prof	italian
BOI033	pens	F	PBC012	emilia-romagna	61-65	med	italian
BOI034	pens	M	PBC012	emilia-romagna	over85	elem	italian
BOI035	pens	F	PBC013	emilia-romagna	76-80	dip-tec-prof	italian
BOI036	pens	M	PBC014	emilia-romagna	76-80	elem	italian
BOI037	pens	M	PBC015	emilia-romagna	61-65	laurea	italian
BOI038	intell	M	PBC016	piemonte	61-65	laurea	italian
BOI039	comm	M	PBB012	emilia-romagna	51-55	laurea	italian
BOI040	oper	F	PBB013	emilia-romagna	46-50	dip-tec-prof	italian
BOI041	oper	F	PBB014	estero	46-50	dip-lic	italian;other
BOI042	pens	M	PBC017	emilia-romagna	71-75	med	italian
BOI043	pens	M	PBC018	emilia-romagna	71-75	med	italian
BOI044	pens	M	PBC019	emilia-romagna	66-70	dip-tec-prof	italian
BOI045	oper	M	PBB015	emilia-romagna	31-35	dip-tec-prof	italian
BOI046	oper	M	PBB015	campania	41-45	dip-tec-prof	italian
BOI047	pens	M	PBC020	emilia-romagna	71-75	dip-lic	italian
BOI048	pens	M	PBC020	emilia-romagna	71-75	dip-lic	italian
BOI049	disocc	M	PBB016	emilia-romagna	51-55	dip-tec-prof	italian
BOI050	uff	F	PBB017	sardegna	46-50	dip-lic	italian
BOI051	pens	F	PBC021	emilia-romagna	76-80	med	italian
BOI052	intell	F	PBB018	emilia-romagna	51-55	laurea	italian
BOI053	stud	F	PBA002	emilia-romagna	21-25	laurea-in-corso	italian
BOI054	artig	M	PBA002	emilia-romagna	26-30	dip-tec-prof	italian
BOI055	pens	F	PBC022	emilia-romagna	76-80	elem	dialect
BOI056	intell	F	PBA003	lazio	26-30	laurea	italian
BOI057	intell	F	PBB019	emilia-romagna	51-55	laurea	italian
BOI058	pens	F	PBC023	emilia-romagna	66-70	med	dialect
BOI059	intell	F	PBB020	emilia-romagna	36-40	laurea	italian
BOI060	oper	M	PBA004	emilia-romagna	21-25	dip-tec-prof	italian
BOI061	comm	F	PBA004	emilia-romagna	21-25	dip-tec-prof	italian
BOI062	stud	F	PBA004	calabria	21-25	laurea-in-corso	italian
BOI063	uff	M	PBA005	emilia-romagna	21-25	dip-tec-prof	italian
BOI064	disocc	F	PBA006	emilia-romagna	21-25	dip-lic	italian
BOI065	intell	F	PBA007	emilia-romagna	16-20	dip-lic	italian
BOI066	comm	F	PBA007	emilia-romagna	21-25	dip-lic	italian
BOI067	disocc	F	PBA008	emilia-romagna	21-25	dip-tec-prof	italian
BOI068	oper	F	PBA009	emilia-romagna	16-20	dip-tec-prof	italian
BOI069	artig	M	PBA010	emilia-romagna	21-25	med	italian
BOI070	comm	M	PBA011	emilia-romagna	21-25	dip-tec-prof	italian
BOI071	comm	M	PBA011	emilia-romagna	16-20	med	italian
BOI072	disocc	F	PBA012	emilia-romagna	21-25	dip-lic	italian
BOI073	stud	M	PBA012	lazio	21-25	laurea-in-corso	italian
BOI074	uff	M	PBA013	emilia-romagna	21-25	dip-tec-prof	italian
BOI075	stud	F	PBA013	calabria	21-25	laurea-in-corso	italian
BOI076	oper	M	PBA014	emilia-romagna	21-25	dip-tec-prof	italian
BOI077	stud	F	PBA015	emilia-romagna	16-20	laurea-in-corso	italian
BOI078	stud	M	PBA016	emilia-romagna	16-20	laurea-in-corso	italian
BOI079	stud	M	PBA016	emilia-romagna	16-20	laurea-in-corso	italian
BOI080	comm	M	PBA017	friuli-venezia-giulia	21-25	dip-lic	italian
BOI081	oper	M	PBA017	veneto	21-25	med	italian
BOI082	oper	M	PBA018	campania	21-25	dip-lic	italian
BOI083	disocc	M	PBA019	lazio	21-25	dip-tec-prof	italian
BOI084	uff	M	PBA019	lazio	21-25	dip-tec-prof	italian
BOI085	uff	M	PBB021	emilia-romagna	36-40	med	italian
BOI086	artig	F	PBB022	emilia-romagna	56-60	dip-tec-prof	italian
BOI087	uff	M	PBB023	emilia-romagna	51-55	dip-tec-prof	italian
BOI088	uff	F	PBB023	emilia-romagna	51-55	med	italian
BOI089	comm	M	PBA020	estero	21-25	dip-tec-prof	italian;other
