code	type	duration	participants-number	participants	year	unknown-participant
BXA4001	conversazione-libera:pasto	0:45:51	4	BX001;BX002;BX003;BX004	2021	no
BZA4001	conversazione-libera:pasto	0:29:08	2	BZ012;BZ009	2022	no
BZA5001	intervista-semistrutturata:linguistic-biography	0:21:48	2	BZ001;BZ002	2021	no
BZA5002	intervista-semistrutturata:linguistic-biography	0:30:11	2	BZ001;BZ003	2021	no
BZA5003	intervista-semistrutturata:linguistic-biography	0:26:26	2	BZ001;BZ004	2021	no
BZA5004	intervista-semistrutturata:linguistic-biography	0:37:50	2	BZ001;BZ005	2021	no
BZA5005	intervista-semistrutturata:linguistic-biography	0:49:11	2	BZ001;BZ006	2021	no
BZA5006	intervista-semistrutturata:linguistic-biography	0:31:15	2	BZ001;BZ007	2021	no
BZA5007	intervista-semistrutturata:linguistic-biography	0:19:25	2	BZ010;BZ008	2020	no
BZA5008	intervista-semistrutturata:linguistic-biography	0:24:20	2	BZ001;BZ009	2022	no
