code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
PTA001	intervista-semistrutturata	01:32:30	3	TOR001;TOR002;TOI001	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTA002	intervista-semistrutturata	00:05:39	5	TOR001;TOR002;TOR003;TOI002;TOI003	italiano	TO	fisso	yes	asimmetrico	2019	no
PTA003	intervista-semistrutturata	01:03:28	5	TOR001;TOR002;TOR003;TOI002;TOI003	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTA005	intervista-semistrutturata	01:44:43	3	TOR001;TOR002;TOI005	italiano	TO	fisso	yes	asimmetrico	2019	yes
PTA006	intervista-semistrutturata	01:05:12	3	TOR001;TOR002;TOI006	italiano	TO	fisso	yes	asimmetrico	2019	yes
PTA007	intervista-semistrutturata	00:13:23	2	TOR001;TOI007	italiano	TO	fisso	yes	asimmetrico	2019	no
PTA012	intervista-semistrutturata	00:30:28	3	TOR001;TOR002;TOI014	italiano	TO	fisso	yes	asimmetrico	2019	no
PTA013	intervista-semistrutturata	00:44:45	4	TOR001;TOR002;TOI001;TOI015	italiano	TO	fisso	yes	asimmetrico	2019	no
PTA015	intervista-semistrutturata	00:37:36	2	TOR006;TOI032	italiano	TO	fisso	yes	asimmetrico	2019	yes
PTA016	intervista-semistrutturata	00:40:23	2	TOR006;TOI033	italiano	TO	fisso	yes	asimmetrico	2019	no
PTA017	intervista-semistrutturata	00:32:12	2	TOR006;TOI034	italiano	TO	fisso	yes	asimmetrico	2019	no
PTA018	intervista-semistrutturata	00:57:27	2	TOR006;TOI031	italiano	TO	fisso	yes	asimmetrico	2019	no
PTB001	intervista-semistrutturata	01:17:52	3	TOR005;TOI022;TOI023	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB002	intervista-semistrutturata	01:27:40	3	TOR004;TOI017;TOI018	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB003	intervista-semistrutturata	00:52:01	3	TOR004;TOI017;TOI018	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB004	intervista-semistrutturata	00:43:01	2	TOR004;TOI019	italiano	TO	fisso	yes	asimmetrico	2019	yes
PTB005	intervista-semistrutturata	00:02:02	2	TOR004;TOI019	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB007	intervista-semistrutturata	01:28:07	2	TOR004;TOI021	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB008	intervista-semistrutturata	00:25:20	2	TOR005;TOI024	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	yes
PTB009	intervista-semistrutturata	00:47:05	3	TOR001;TOR003;TOI035	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	yes
PTB014	intervista-semistrutturata	01:05:48	4	TOR001;TOR002;TOI049;TOI050	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	yes
PTB015	intervista-semistrutturata	00:50:58	3	TOR007;TOI051;TOI052	italiano	TO	fisso	yes	asimmetrico	2019	no
PTB018	intervista-semistrutturata	00:54:46	2	TOR001;TOI056	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB021	intervista-semistrutturata	00:39:25	2	TOR009;TOI067	italiano	TO	fisso	yes	asimmetrico	2019	no
PTB022	intervista-semistrutturata	00:33:31	3	TOR001;TOR002;TOI075	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB024	intervista-semistrutturata	00:23:23	3	TOR015;TOI109;TOI110	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD001	intervista-semistrutturata	00:51:20	2	TOR004;TOI020	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	yes
PTD003	intervista-semistrutturata	00:32:04	2	TOR001;TOI048	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD005	intervista-semistrutturata	00:22:25	2	TOR004;TOI054	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD007	intervista-semistrutturata	00:39:12	2	TOR001;TOI041	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTD009	intervista-semistrutturata	00:56:23	2	TOR001;TOI060	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTD011	intervista-semistrutturata	00:27:23	2	TOR009;TOI066	italiano	TO	fisso	yes	asimmetrico	2019	yes
PTD019	intervista-semistrutturata	00:54:47	3	TOR001;TOI010;TOI011	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	yes
PTD020	intervista-semistrutturata	00:23:12	2	TOR001;TOI008	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD021	intervista-semistrutturata	01:31:29	4	TOR001;TOR002;TOI012;TOI013	italiano	TO	fisso	yes	asimmetrico	2019	yes
PTD022	intervista-semistrutturata	00:13:11	2	TOR001;TOI009	italiano	TO	fisso	yes	asimmetrico	2019	no
PTB020	intervista-semistrutturata	00:55:11	3	TOR009;TOI069;TOI070	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	yes
PTB023	intervista-semistrutturata	00:47:59	2	TOR007;TOI113	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD013	intervista-semistrutturata	00:20:25	2	TOR010;TOI111	italiano	TO	fisso	yes	asimmetrico	2019	no
PTB025	intervista-semistrutturata	01:09:45	4	TOR001;TOR002;TOI116;TOI117	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTD014	intervista-semistrutturata	00:17:17	2	TOR010;TOI112	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD006	intervista-semistrutturata	01:06:38	2	TOR004;TOI055	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD010	intervista-semistrutturata	00:59:08	3	TOR001;TOI064;TOI065	italiano	TO	fisso	yes	asimmetrico	2019	no
PTD015	intervista-semistrutturata	00:48:55	4	TOR001;TOI072;TOI073;TOI074	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTD012	intervista-semistrutturata	01:55:04	2	TOR001;TOI068	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTD016	intervista-semistrutturata	00:55:23	3	TOR004;TOI076;TOI077	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	yes
PTB019	intervista-semistrutturata	00:43:39	3	TOR009;TOI071;TOI080	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTD008	intervista-semistrutturata	00:31:09	3	TOR001;TOI058;TOI059	italiano	TO	fisso	yes	asimmetrico	2019	yes
PTD004	intervista-semistrutturata	01:15:14	4	TOR001;TOI042;TOI043;TOI044	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTD017	intervista-semistrutturata	00:38:22	2	TOR001;TOI078	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
PTB026	intervista-semistrutturata	01:07:53	3	TOR002;TOI118;TOI119	italiano;dialetto	TO	fisso	yes	asimmetrico	2019	no
