code	occupation	gender	conversations	birth-region	age-range	study-level
TO041	stud	F	TOD2005	piemonte	21-25	laurea-in-corso
TO042	stud	M	TOD2006	piemonte	21-25	laurea-in-corso
TO043	stud	F	TOD2007	piemonte	21-25	laurea-in-corso
TO044	stud	F	TOD2008	piemonte	21-25	laurea-in-corso
TO045	stud	F	TOD2009	piemonte	21-25	laurea-in-corso
TO046	stud	M	TOD2010	piemonte	21-25	laurea-in-corso
TO047	stud	F	TOD2011	sicilia	21-25	laurea-in-corso
TO055	stud	F	TOD2005;TOD2007;TOD2008;TOD2009;TOD2010;TOD2011	piemonte	21-25	laurea-in-corso
TO056	stud	F	TOD2012	sicilia	31-35	laurea-in-corso
TO057	stud	F	TOD2013	calabria	26-30	laurea-in-corso
TO058	stud	F	TOD2013	lombardia	21-25	laurea-in-corso
TO059	stud	F	TOD2014	umbria	21-25	laurea-in-corso
TO060	stud	F	TOD2014	marche	21-25	laurea-in-corso
TO071	stud	M	TOD2012;TOD2013;TOD2014;TOD2015;TOD2016	abruzzo	31-35	laurea-in-corso
TO073	stud	F	TOD2015	piemonte	21-25	laurea-in-corso
TO080	stud	F	TOD2016	lombardia	21-25	laurea-in-corso
TO081	stud	F	TOD2002	piemonte	21-25	laurea-in-corso
TO082	stud	F	TOD2001	piemonte	21-25	laurea-in-corso
TO083	stud	F	TOD2003	liguria	21-25	laurea-in-corso
TO084	stud	F	TOD2004	piemonte	21-25	laurea-in-corso
TO999	intell	M	TOD2001;TOD2002;TOD2003;TOD2004;TOD2006	piemonte	26-30	phd
TOI001	oper	M	PTA013;PTA001	piemonte	26-30	dip-tec-prof
TOI002	oper	M	PTA002;PTA003	piemonte	26-30	dip-tec-prof
TOI003	oper	M	PTA002;PTA003	piemonte	26-30	dip-tec-prof
TOI005	oper	M	PTA005	piemonte	26-30	med
TOI006	comm	M	PTA006	piemonte	26-30	dip-tec-prof
TOI007	comm	M	PTA007	piemonte	21-25	dip-tec-prof
TOI008	comm	M	PTD020	piemonte	31-35	dip-lic
TOI009	comm	M	PTD022	piemonte	31-35	dip-tec-prof
TOI010	comm	M	PTD019	piemonte	36-40	dip-lic
TOI011	comm	M	PTD019	lombardia	31-35	dip-tec-prof
TOI012	oper	M	PTD021	piemonte	31-35	dip-tec-prof
TOI013	oper	M	PTD021	puglia	21-25	dip-tec-prof
TOI014	disocc	M	PTA012	piemonte	16-20	dip-tec-prof
TOI015	oper	M	PTA013	piemonte	26-30	dip-tec-prof
TOI017	pens	M	PTB002;PTB003	puglia	over85	elem
TOI018	pens	F	PTB002;PTB003	puglia	81-85	elem
TOI019	pens	F	PTB004;PTB005	basilicata	over85	elem
TOI020	pens	F	PTD001	basilicata	56-60	dip-tec-prof
TOI021	pens	F	PTB007	sicilia	66-70	elem
TOI022	pens	M	PTB001	puglia	61-65	elem
TOI023	pens	M	PTB001	veneto	76-80	elem
TOI024	pens	F	PTB008	piemonte	76-80	med
TOI031	artig	M	PTA018	piemonte	26-30	dip-lic
TOI032	oper	M	PTA015	friuli-venezia-giulia	21-25	dip-tec-prof
TOI033	oper	M	PTA016	piemonte	21-25	dip-tec-prof
TOI034	oper	F	PTA017	piemonte	21-25	dip-tec-prof
TOI035	pens	F	PTB009	piemonte	over85	dip-lic
TOI041	intell	F	PTD007	piemonte	46-50	laurea
TOI042	pens	M	PTD004	piemonte	66-70	laurea
TOI043	intell	F	PTD004	piemonte	56-60	laurea
TOI044	intell	F	PTD004	piemonte	56-60	laurea
TOI048	intell	F	PTD003	sardegna	36-40	laurea
TOI049	pens	M	PTB014	veneto	over85	elem
TOI050	pens	F	PTB014	puglia	over85	elem
TOI051	pens	F	PTB015	piemonte	81-85	med
TOI052	stud	F	PTB015	piemonte	16-20	dip-lic
TOI054	comm	F	PTD005	piemonte	56-60	dip-tec-prof
TOI055	comm	M	PTD006	piemonte	36-40	dip-tec-prof
TOI056	pens	F	PTB018	piemonte	over85	dip-tec-prof
TOI058	oper	M	PTD008	piemonte	41-45	dip-tec-prof
TOI058	oper	M	PTD008	piemonte	41-45	dip-tec-prof
TOI059	uff	F	PTD008	piemonte	36-40	dip-tec-prof
TOI060	intell	M	PTD009	piemonte	41-45	laurea
TOI064	intell	M	PTD010	piemonte	41-45	phd
TOI065	intell	F	PTD010	piemonte	36-40	laurea
TOI066	intell	F	PTD011	piemonte	36-40	laurea
TOI067	pens	F	PTB021	friuli-venezia-giulia	76-80	dip-tec-prof
TOI068	intell	M	PTD012	lazio	46-50	laurea
TOI069	pens	F	PTB020	sicilia	66-70	elem
TOI070	pens	M	PTB020	piemonte	71-75	dip-tec-prof
TOI071	pens	F	PTB019	puglia	66-70	dip-lic
TOI072	intell	F	PTD015	piemonte	36-40	dip-lic
TOI073	intell	F	PTD015	piemonte	36-40	laurea
TOI074	stud	F	PTD015	trentino-alto-adige	16-20	laurea-in-corso
TOI075	pens	M	PTB022	piemonte	over85	dip-tec-prof
TOI076	disocc	F	PTD016	piemonte	26-30	dip-tec-prof
TOI077	impr	M	PTD016	piemonte	36-40	dip-tec-prof
TOI078	impr	M	PTD017	piemonte	36-40	dip-lic
TOI080	pens	M	PTB019	puglia	76-80	dip-tec-prof
TOI109	pens	F	PTB024	veneto	76-80	elem
TOI110	non-qualif	F	PTB024	piemonte	56-60	dip-tec-prof
TOI111	intell	F	PTD013	piemonte	56-60	dip-lic
TOI112	oper	M	PTD014	piemonte	56-60	elem
TOI113	intell	M	PTB023	piemonte	61-65	laurea
TOI116	pens	F	PTB025	piemonte	66-70	dip-lic
TOI117	pens	M	PTB025	piemonte	71-75	laurea
TOI118	pens	M	PTB026	piemonte	71-75	med
TOI119	pens	F	PTB026	veneto	71-75	med
TOR001	intell	F	PTA003;PTA005;PTA006;PTA007;PTB025;PTB009;PTB018;PTB022;PTD019;PTD020;PTD022;PTD003;PTA013;PTA012;PTD009;PTD007;PTD021;PTB014;PTA002;PTD010;PTD015;PTD012;PTD008;PTD004;PTA001;PTD017	lombardia	26-30	phd
TOR002	intell	M	PTA003;PTA005;PTA006;PTB025;PTB022;PTA013;PTA012;PTD021;PTB014;PTA002;PTA001;PTB026	piemonte	26-30	phd
TOR003	intell	M	PTA002;PTA003;PTB009	piemonte	26-30	laurea
TOR004	stud	F	PTB002;PTB003;PTB004;PTB005;PTB007;PTD001;PTD005;PTD006;PTD016	piemonte	21-25	laurea-in-corso
TOR005	stud	M	PTB008;PTB001	abruzzo	31-35	laurea-in-corso
TOR006	stud	F	PTA018;PTA015;PTA017;PTA016	piemonte	21-25	laurea-in-corso
TOR007	stud	F	PTB015;PTB023	lombardia	21-25	laurea-in-corso
TOR009	stud	F	PTB021;PTD011;PTB020;PTB019	sicilia	21-25	laurea-in-corso
TOR010	N/A	F	PTD013;PTD014	piemonte	N/A	laurea
TOR015	intell	M	PTB024	piemonte	31-35	phd
