code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
SBCA001	conversazione-libera	00:46:42	4	PSB033;PSB045;PSB044;PSB043	italiano;other	BO	libero	no	simmetrico	_	yes
SBCA002	conversazione-libera	00:49:12	3	PSB083;PSB084;PSB085	italiano;other	BO	libero	no	simmetrico	_	no
SBCA003	conversazione-libera	00:30:08	2	PSB099;PSB100	italiano;other	BO	libero	no	simmetrico	_	no
SBCA004	conversazione-libera	00:21:26	2	PSB099;PSB100	italiano;other	BO	libero	no	simmetrico	_	no
SBCA006	conversazione-libera	00:31:00	2	PSB125;PSB126	italiano;other	BO	libero	no	simmetrico	_	no
SBCA008	conversazione-libera	00:30:45	2	PSB140;PSB141	italiano;other	BO	libero	no	simmetrico	_	yes
SBCA009	conversazione-libera	00:16:36	2	PSB142;PSB143	italiano;other	BO	libero	no	simmetrico	_	no
SBCA010	conversazione-libera	00:25:31	3	PSB161;PSB162;PSB163	italiano;other	BO	libero	no	simmetrico	_	no
SBCA011	conversazione-libera	01:03:45	2	PSB164;PSB165	italiano;other	BO	libero	no	simmetrico	_	yes
SBCB001	conversazione-libera	00:31:24	4	PSB071;PSB072;PSB073;PSB074	italiano;other	BO	libero	no	simmetrico	_	yes
SBCB002	conversazione-libera	00:49:12	4	PSB005;PSB093;PSB094;PSB095	italiano;other	BO	libero	no	simmetrico	_	yes
SBCB003	conversazione-libera	00:32:00	2	PSB095;PSB118	italiano;other	BO	libero	no	simmetrico	_	no
SBCB004	conversazione-libera	01:17:46	4	PSB054;PSB133;PSB134;PSB135	italiano;other	BO	libero	no	simmetrico	_	yes
SBCB005	conversazione-libera	00:48:22	2	PSB049;PSB050	italiano	BO	libero	no	simmetrico	_	no
SBCB006	conversazione-libera	00:31:21	4	PSB005;PSB093;PSB094;PSB095	italiano;other	BO	libero	no	simmetrico	_	yes
SBCB007	conversazione-libera	00:28:51	3	PSB005;PSB093;PSB095	italiano;other	BO	libero	no	simmetrico	_	yes
SBCB008	conversazione-libera	01:54:00	2	PSB151;PSB152	italiano;other	BO	libero	no	simmetrico	_	yes
SBCC003	conversazione-libera	01:07:00	4	PSB101;PSB102;PSB103;PSB054	italiano;other	BO	libero	no	simmetrico	_	no
SBCC004	conversazione-libera	01:19:46	2	PSB104;PSB105	italiano	BO	libero	no	simmetrico	_	no
SBCC005	conversazione-libera	00:17:00	2	PSB109;PSB110	italiano;other	BO	libero	no	simmetrico	_	no
SBCC006	conversazione-libera	00:39:00	2	PSB109;PSB110	italiano;other	BO	libero	no	simmetrico	_	no
SBCC007	conversazione-libera	00:50:00	2	PSB113;PSB114	italiano;other	BO	libero	no	simmetrico	_	yes
SBCC008	conversazione-libera	01:29:06	3	PSB104;PSB105;PSB119	italiano;other	BO	libero	no	simmetrico	_	no
SBCC009	conversazione-libera	01:24:45	4	PSB104;PSB105;PSB119;PSB120	italiano;other	BO	libero	no	simmetrico	_	no
SBCC010	conversazione-libera	00:49:00	2	PSB121;PSB122	italiano	BO	libero	no	simmetrico	_	no
SBCC011	conversazione-libera	00:12:00	2	PSB121;PSB122	italiano	BO	libero	no	simmetrico	_	no
SBCC012	conversazione-libera	00:41:59	2	PSB136;PSB137	italiano;other	BO	libero	no	simmetrico	_	no
SBCU001	conversazione-libera	01:29:03	2	PSB005;PSB022	italiano;other	BO	libero	no	simmetrico	_	yes
SBCU002	conversazione-libera	00:22:00	6	PSB005;PSB005;PSB087;PSB088;PSB089;PSB090;PSB086	italiano;other	BO	libero	no	simmetrico	_	no
SBCU003	conversazione-libera	00:14:27	2	PSB091;PSB092	italiano	BO	libero	no	simmetrico	_	no
SBCU005	conversazione-libera	00:41:10	2	PSB106;PSB107	italiano;other	BO	libero	no	simmetrico	_	no
SBCU007	conversazione-libera	00:44:05	8	PSB005;PSB036;PSB086;PSB091;PSB127;PSB128;PSB129;PSB130	italiano;other	BO	libero	no	simmetrico	_	yes
SBCU007bis	conversazione-libera	00:49:02	8	PSB005;PSB036;PSB086;PSB091;PSB127;PSB128;PSB129;PSB130	italiano;other	BO	libero	no	simmetrico	_	no
SBCU007tris	conversazione-libera	00:23:48	8	PSB005;PSB036;PSB086;PSB091;PSB127;PSB128;PSB129;PSB130	italiano;other	BO	libero	no	simmetrico	_	no
SBCU008	conversazione-libera	01:00:00	2	PSB005;PSB091	italiano;other	BO	libero	no	simmetrico	_	yes
SBCU008bis	conversazione-libera	01:14:29	2	PSB005;PSB091	italiano;other	BO	libero	no	simmetrico	_	yes
SBCU010	conversazione-libera	00:19:01	2	PSB149;PSB150	italiano;other	BO	libero	no	simmetrico	_	no
SBIA002	intervista-semistrutturata	01:20:00	3	PSB005;PSB017;PSB016	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIA003	intervista-semistrutturata	00:38:42	3	PSB005;PSB023;PSB024	italiano	BO	fisso	yes	asimmetrico	_	yes
SBIA004	intervista-semistrutturata	00:23:00	3	PSB005;PSB025;PSB017	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIA005	intervista-semistrutturata	00:37:02	2	PSB005;PSB027	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIA006	intervista-semistrutturata	00:16:40	3	PSB014;PSB033;PSB034	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIA008	intervista-semistrutturata	00:44:30	2	PSB005;PSB042	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIA011	intervista-semistrutturata	00:33:57	3	PSB005;PSB063;PSB064	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIA012	intervista-semistrutturata	00:47:32	3	PSB005;PSB065;PSB066	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIA013	intervista-semistrutturata	01:07:00	5	PSB005;PSB066;PSB067;PSB068;PSB069	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIA014	intervista-semistrutturata	01:15:00	4	PSB005;PSB079;PSB080;PSB067	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIA015	intervista-semistrutturata	00:44:29	3	PSB144;PSB145;PSB146	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIA017	intervista-semistrutturata	00:35:11	3	PSB146;PSB147;PSB153	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIA018	intervista-semistrutturata	00:39:10	2	PSB141;PSB156	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIA019	intervista-semistrutturata	00:59:51	4	PSB157;PSB158;PSB159;PSB160	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIB001	intervista-semistrutturata	01:06:00	2	PSB005;PSB021	italiano	BO	fisso	yes	asimmetrico	_	no
SBIB002	intervista-semistrutturata	00:37:17	3	PSB005;PSB026;PSB028	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIB003	intervista-semistrutturata	00:39:00	3	PSB005;PSB029;PSB054	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIB004	intervista-semistrutturata	00:18:23	2	PSB005;PSB041	italiano	BO	fisso	yes	asimmetrico	_	yes
SBIB005	intervista-semistrutturata	00:24:35	6	PSB028;PSB054;PSB036;PSB051;PSB052;PSB053	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIB006	intervista-semistrutturata	00:58:00	2	PSB049;PSB050	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIB007	intervista-semistrutturata	00:38:10	2	PSB005;PSB056	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIB008	intervista-semistrutturata	00:39:35	3	PSB028;PSB054;PSB057	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIB009	intervista-semistrutturata	00:20:19	2	PSB005;PSB058	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIB010	intervista-semistrutturata	00:26:38	3	PSB005;PSB058;PSB059	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIB011	intervista-semistrutturata	00:56:19	2	PSB005;PSB062	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIB012	intervista-semistrutturata	01:36:00	5	PSB005;PSB071;PSB072;PSB073;PSB074	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIB013	intervista-semistrutturata	01:18:00	3	PSB005;PSB075;PSB076	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIC001	intervista-semistrutturata	01:00:07	3	PSB005;PSB002;PSB001	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIC002	intervista-semistrutturata	01:02:00	3	PSB005;PSB004;PSB003	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIC004	intervista-semistrutturata	00:51:19	2	PSB005;PSB008	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIC005	intervista-semistrutturata	01:07:56	2	PSB005;PSB009	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIC006	intervista-semistrutturata	01:08:00	2	PSB005;PSB013	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIC007	intervista-semistrutturata	00:16:06	3	PSB014;PSB033;PSB035	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIC008	intervista-semistrutturata	00:34:17	4	PSB005;PSB036;PSB037;PSB038	italiano;other	BO	fisso	yes	asimmetrico	_	yes
SBIC009	intervista-semistrutturata	00:52:00	2	PSB005;PSB046	italiano	BO	fisso	yes	asimmetrico	_	yes
SBIC010	intervista-semistrutturata	00:40:15	2	PSB005;PSB077	italiano	BO	fisso	yes	asimmetrico	_	no
SBIC011	intervista-semistrutturata	00:40:00	2	PSB005;PSB078	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIC012	intervista-semistrutturata	01:07:00	3	PSB005;PSB081;PSB082	italiano	BO	fisso	yes	asimmetrico	_	yes
SBIU001	intervista-semistrutturata	01:20:00	2	PSB005;PSB007	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIU002	intervista-semistrutturata	01:08:00	2	PSB005;PSB010	italiano	BO	fisso	yes	asimmetrico	_	no
SBIU003	intervista-semistrutturata	01:30:05	2	PSB011;PSB012	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIU004	intervista-semistrutturata	01:27:00	2	PSB005;PSB018	italiano;other	BO	fisso	yes	asimmetrico	_	no
SBIU005	intervista-semistrutturata	01:06:08	2	PSB005;PSB019	italiano	BO	fisso	yes	asimmetrico	_	yes
SBIU006	intervista-semistrutturata	01:09:03	2	PSB005;PSB020	italiano;other	BO	fisso	yes	asimmetrico	_	yes
