code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
STIA001	intervista-semistrutturata	00:49:53	4	PST003;PST004;PST200;PST201	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIA002	intervista-semistrutturata	00:51:38	4	PST009;PST054;PST202;PST203	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA004	intervista-semistrutturata	00:20:14	2	PST012;PST205	italiano	TO	fisso	yes	asimmetrico	_	no
STIA005	intervista-semistrutturata	00:26:36	2	PST013;PST205	italiano	TO	fisso	yes	asimmetrico	_	no
STIA006	intervista-semistrutturata	00:17:05	2	PST014;PST205	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIA007	intervista-semistrutturata	00:40:56	2	PST015;PST205	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA008	intervista-semistrutturata	00:55:36	2	PST016;PST205	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA009	intervista-semistrutturata	00:31:48	2	PST017;PST206	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA010	intervista-semistrutturata	00:23:21	2	PST018;PST206	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA012	intervista-semistrutturata	00:04:50	3	PST032;PST211;PST212	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIA016	intervista-semistrutturata	00:23:15	2	PST078;PST223	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIA017	intervista-semistrutturata	00:44:08	3	PST088;PST203;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIA018	intervista-semistrutturata	00:44:16	3	PST095;PST203;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA019	intervista-semistrutturata	00:18:52	2	PST106;PST216	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIA020	intervista-semistrutturata	00:55:04	3	PST121;PST219;PST220	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA021	intervista-semistrutturata	00:18:00	5	PST140;PST141;PST142;PST143;PST215	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIA022	intervista-semistrutturata	01:01:54	2	PST144;PST222	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STCA001	conversazione-libera	00:34:02	7	PST133;PST134;PST135;PST136;PST137;PST138;PST139	italiano;other	TO	libero	no	simmetrico	_	no
STCA002	conversazione-libera	00:49:06	4	PST107;PST108;PST110;PST217	italiano;other	TO	libero	no	simmetrico	_	yes
STCA003	conversazione-libera	00:38:02	5	PST107;PST108;PST110;PST211;PST217	italiano;other	TO	libero	no	simmetrico	_	yes
STCA004	conversazione-libera	00:38:39	6	PST107;PST108;PST109;PST110;PST211;PST217	italiano;other	TO	libero	no	simmetrico	_	yes
STCA009	conversazione-libera	01:29:39	3	PST222;PST145;PST146	italiano;other	TO	libero	no	simmetrico	_	yes
STCA010	conversazione-libera	01:07:20	4	PST147;PST148;PST149;PST222	italiano;other	TO	libero	no	simmetrico	_	no
STCA012	conversazione-libera	00:44:53	2	PST158;PST214	italiano;other	TO	libero	no	simmetrico	_	no
STIS001	intervista-semistrutturata	00:49:23	4	PST001;PST002;PST200;PST201	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS003	intervista-semistrutturata	00:50:29	4	PST005;PST006;PST200;PST225	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS004	intervista-semistrutturata	00:46:19	3	PST007;PST008;PST201	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS005	intervista-semistrutturata	00:46:54	2	PST038;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS006	intervista-semistrutturata	00:29:21	2	PST043;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS008	intervista-semistrutturata	00:41:06	2	PST049;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS009	intervista-semistrutturata	00:46:09	4	PST061;PST062;PST203;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIS010	intervista-semistrutturata	00:22:42	2	PST063;PST212	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS011	intervista-semistrutturata	00:04:41	4	PST063;PST066;PST209;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIS012	intervista-semistrutturata	00:26:58	4	PST064;PST065;PST203;PST210	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIS013	intervista-semistrutturata	00:46:13	4	PST072;PST211;PST212;PST213	italiano	TO	fisso	yes	asimmetrico	_	no
STIS014	intervista-semistrutturata	00:57:18	4	PST073;PST211;PST212;PST213	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIS015	intervista-semistrutturata	00:19:57	2	PST074;PST203	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIS016	intervista-semistrutturata	01:32:40	4	PST096;PST097;PST203;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
STCS004	conversazione-libera	00:18:12	7	PST089;PST098;PST099;PST165;PST203;PST211;PST213	italiano;other	TO	libero	no	simmetrico	_	no
STCS005	conversazione-libera	00:17:49	3	PST103;PST104;PST105	italiano;other	TO	libero	no	simmetrico	_	yes
STCS006	conversazione-libera	00:29:02	4	PST112;PST113;PST114;PST115	italiano;other	TO	libero	no	simmetrico	_	yes
STCS008	conversazione-libera	01:27:18	6	PST096;PST122;PST123;PST124;PST125;PST127	italiano;other	TO	libero	no	simmetrico	_	yes
STCS009	conversazione-libera	00:44:33	6	PST160;PST161;PST162;PST163;PST164;PST166	italiano;other	TO	libero	no	simmetrico	_	no
STCS010	conversazione-libera	01:12:34	9	PST160;PST161;PST162;PST163;PST164;PST165;PST166;PST072;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STIR011	intervista-semistrutturata	00:17:40	3	PST034;PST211;PST212	italiano	TO	fisso	yes	asimmetrico	_	no
STIR012	intervista-semistrutturata	00:15:43	2	PST036;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIR013	intervista-semistrutturata	00:25:53	3	PST039;PST212;PST213	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIR014	intervista-semistrutturata	00:10:36	3	PST041;PST212;PST213	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIR015	intervista-semistrutturata	00:47:21	2	PST042;PST212	italiano	TO	fisso	yes	asimmetrico	_	no
STIR016	intervista-semistrutturata	00:13:05	2	PST044;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
