table	column	en	it
conversations	type	office-hours	ricevimento
conversations	type	free-conversation	conversazione-libera
conversations	type	exam	esame
conversations	type	lecture	lezione
conversations	type	semistructured-interview	intervista-semistrutturata
conversations	type	meal	pasto
conversations	participants-relationship	symmetric	simmetrico
conversations	participants-relationship	asymmetric	asimmetrico
conversations	topic	free	libero
conversations	topic	fixed	fisso
conversations	languages	italian	italiano
conversations	languages	dialect	dialetto
participants	occupation	0-Students	stud
participants	occupation	0-Retired	pens
participants	occupation	0-Unemployed	disocc
participants	occupation	1-Managers	impr
participants	occupation	2-Professionals	intell
participants	occupation	3-Technicians	tec
participants	occupation	4-Clerical-Workers	uff
participants	occupation	5-Service-Workers	comm
participants	occupation	6-Craft-Workers	artig
participants	occupation	7-Plant-Operators	oper
participants	occupation	8-Elementary	non-qualif
participants	occupation	N/A	N/A
participants	occupation	unknown	N/A
participants	occupation	_	N/A
participants	study-level	liceo-diploma	dip-lic
participants	study-level	middle-school	med
participants	study-level	phd	phd
participants	study-level	primary-school	elem
participants	study-level	elementary-school	elem
participants	study-level	technical-vocational-diploma	dip-tec-prof
participants	study-level	university-degree	laurea
participants	study-level	university-degree-ongoing	laurea-in-corso
participants	study-level	N/A	N/A
participants	study-level	none	nessuno
participants	study-level	foreign-diploma	dip-estero
participants	age-range	_	N/A
participants	age-range	over 85	over85
participants	gender	_	N/A
participants	birth-region	_	N/A
participants	school-region	_	N/A
